Name,Code,Revenue
ავტოლაინი,204491861,192237
აბა ჯგუფი,204562918,191871
ზახარ,202061053,191774
ფორესთ კონსალტინგი,205227912,191231
სტრადა,200264800,190800
თერაპიის სამეცნიერო-კვლევითი კლინიკა,401956184,190000
მშენ-ბენი,243918025,189706
შპს ფესტ ჯგუფი,205251092,187197
მიფასი,204920906,186993
მშენებელი,404378179,186653
მოტორსტარი,216402701,186347
შპს ინფოსერვისი,200001229,181103
საინჟინრო სამშენებლო ჯგუფი,226155399,180990
აკვარიუმი,200095690,180845
კარგო ლოჯისთიქს  გრუფ  ჯორჯია,205040882,177403
შპს ბბ კომპანი,204439269,176875
საქართველოს ეთერზეთები,404867499,176841
დიკე 2010,401955292,176590
შპს პროლაითი,404378151,175096
ნექსთ ჯი თი,404880580,174540
გადამზიდი,427717697,174370
პისიშოპ.ჯი,205198481,173838
შ.პ.ს.მომავლის საქმე,202456298,173253
გურამექსი,204379911,171270
ბათუმის ხელოვანთა სახლი-არგანი,245560717,170000
ჯეოვია,205274601,169370
ჰიდროსფერო,211386999,167500
შ.პ.ს მშენსპეცი,412678589,166605
ზუკა 2010,204575691,166000
საქნახშირი (ჯი-აი-ჯი ჯგუფი),230868120,165918
რელე2,404934826,165888
მონოლითმშენი-21,205224336,165131
სპს მაგი,224080768,164375
შპს არქმშენსტუდია 2002,218020914,163591
გაზეთი ჯორჯია თუდეი,203867119,162300
ვამაროსა,406037051,161100
მონოლითი-ა,445384487,160119
მშენებელი 2009,231289860,159729
შპს სამშენებლო სისტემები,206220169,157494
მშვილდოსანი,404385401,156134
მშენებელი 2004,205023277,155000
ოპერა,204497990,154033
სტილ საქართველო,401950377,153600
შპს გორიგაზმშენი,218036550,152454
საქართველოს ჯანმრთელობის ხელშეწყობისა და განათლების ფონდი,206167832,151920
აუთდორ ტიპოგრაფი,205281826,151029
უნივერსალი,204935767,149649
ელექტრობის და განათების კომპანია,205290576,149587
შპს ომეგა,211334830,149331
სი-თი-ეს ჯგუფი,400003232,148644
კახი ჯგუფი,202456270,148592
მშენებელი 2003,225381725,147560
შპს თბილმშენი-3,202886412,147284
შადრევანი,209463917,146995
ბუნებრივი აირი,231251007,146553
ბ&დკომპანი,412680273,146257
ქარდ სოლუშენ,205023605,145446
პისი ქორნერ,404857847,144728
ქარდ თაიმი,204576100,144402
შპს ავტოლიდერი,401970382,144287
შპს კობრა-კობრა,200271339,143537
ბორაკო,205176165,143111
სენა ავტო,205175941,142790
"სს გ.ნათაძის სახ. სანიტარიის ჰიგიენისა და სამედიცინო ეკოლოგიის ს/კ ინსტიტუტი",202057219,142779
პარნასი,204990055,142042
ბონდი-2009,245626470,140925
ბიზნეს ალიანსი,206182646,140638
ბრენდა ჯორჯია,205282219,140632
Ltd italGeoConstructions&Mani Management,245624196,139940
გიდმედი,202453987,137928
მეგა ფასად ქლინინგი,406024485,137497
E-2010,448381992,137297
კავშირი ძველი საქართველო,205112233,137078
შპს ვიზარდ ივენთი,204572177,136681
მატრიცა XXI,206337338,135751
ენერჯი ინვესტ გრუპ,202390901,135000
შპს ტემპი-7,245591417,134964
შპს თანადგომა-1-გაზეთ საქართველოს რესპუბლიკის გამომცემელი,202411808,133327
ომეკო,225068486,133200
კრისტალი 2005,225385400,133140
შპს ბელ-ბაუ,205156748,133060
შ.პ.ს. სერვისცენტრი,200110968,132715
შპს სატურნი,202362905,132375
შ.პ.ს. სტანდარტმეტრ ჯგუფი,448383909,132218
თბომშენი,212681249,131998
Alex Development Georgia LTD,205208899,131735
შპს უნიმედი აჭარა,404865972,130340
შპს ბი-სი-ჯი კვლევა,202209029,130319
ფასტ ნეტ,205275824,130000
POP-CORN,404917024,129048
ავიაკომპანია თუშეთი,208193925,127800
შპს ავტოსერვისი დიდი დიღომი,211358975,127638
მარსი მმ XXI,247864761,127460
ექსიმ პარკეტი,401958315,126099
შპს ჯი ემ სერვისი,200255446,125163
სასტუმრო ამბასადორი,404383234,124129
აც ჯგუფი,401962471,122706
მიფასი ტექ,445395769,122700
ნოკა ჯგუფი,400025539,121907
მზიანი საქართველო,204564872,121745
შპს ჯეო-ტრენდი,404860085,121570
ნიუ არქიტექტი,440388037,121104
შ.პ.სზუმერი ჯორჯია,202462717,120749
საქარტველოს ტექნიკური ჯგუფი,200236707,120329
იზოლსერვისი,400012703,120115
შპს გეგი,202060893,120000
ქუთაისის ავტომექანიკური ქარხანა,202236794,119900
ახალი საქქალაქმშენპროექტი,205286616,119539
ჯი ენ ემი,401949898,118777
ჯი ბი ელ,404406139,118501
შპს ბრიტანული ცენტრი,404393081,118029
შპს აგრონეტი,400033913,117350
კვანტ-ელექტრონიკს,205084674,117267
ganateba 2011,446952986,116805
ჯორჯიან გრუპ,412678222,116720
მარკეტინგული ცენტრი ტერრა მედია,205222515,116026
დიდგორი,404380736,114939
ჯი - ემ - ეს,204453313,113513
შპს ტერაგრაფიკი,205190595,113448
შპს Urban Motors,401971185,113000
ბათუმის სამშობიარო სახლი,245428434,112424
შპს მეტრი,205045645,112164
ბრენდჰაუზი,205223006,112000
ა-პრო,400012375,111934
აი-ეს-აი ავტო,205232782,110205
გორმშენი,218036391,109554
ბიზნეს პარკი,215140103,109450
ერ-დი ჯგუფი,202461754,109224
შპს გუნგლი,225068271,108254
დგთ,404379784,107908
ელკალიტა,406054987,107367
მეგავეტი,443854651,107340
ბეარინგ.ჯი,205254598,106825
სისტემები,202324225,106680
დაჩი  გრუპ,200243218,106441
შ.პ.ს მ.გ,412676947,106439
შპს ალგეთელები,430797248,106309
პონტო,215082345,105943
შპს აბტ ინტერნეიშენალ,205224256,105912
არგადესი,230095875,105748
შპს ბაკურ სულაკაურის გამომცემლობა,204931164,105600
შპს ტექნოკომპარკი +,205255007,105473
შპს ვორლდ სერვისი,202251080,104524
M ავტო,416290864,104408
ზებრა,205291575,104400
ვივა ჯგუფი,200273453,104130
გამომცემლობა კოლორი,208149859,103784
GIOX,404889162,103025
შპს ჯორჯიან ტექნოგრუპი,412687560,102996
ალტერნატიული უსაფრთხოება,205204535,102934
ავტო სტილი,236095845,102300
შპს უჯრედული ტექნოლოგიებისა და თერაპიის ცენტრი,205284093,102065
უნივერსალ ტექნიკსი,400009959,102000
ჯეპრა,206130239,100985
შპს უნი ინვესტი UNI INVEST,205285519,100278
ნიუ პაუერ,401962872,99909
იროთი,205260411,99499
ბეიკერ ტილი ჯორჯია,211325056,98700
შ.პ.ს.ავტოსატრანსპორტო საწარმო ავტოსერვისი,221286917,98506
შპს ავიაკომპანია გლობალ აირ,406034198,98400
ჯეი პი ეი ფინანსაუდიტი,200032810,98185
ივერია -  2004,200100381,97993
შ.პ.ს კამარა,404419973,97865
ბიარტი,202463636,97740
ელ-დკ,216452283,97550
შპს ნატახტარის წყლები,205289855,97164
მაკაგონი,400001467,96787
შპს GANAXLEBA,448047532,95890
საქართველოს სამშენებლო კომპანია,204991090,95531
შპს სტილ სერვისი,202459302,95401
სხივი,400003893,94369
შპს გაზ-ენერჯი,205242245,94095
შპს დოქტორ ზაუბერი,205194350,91999
ჯორჯიან ჯენესის,205268743,91900
აუთდორ სეილ,204576280,91164
სტერეო+,204986408,90000
თამბაქოს კონტროლის ჩარჩო კონვენციის იმპლემენტაციისა და მონიტორინგის ცენტრი საქართველოში,206138302,89300
შპს ფრიშოპ.ჯი,404387356,88791
შპს კორამედი,204918544,87414
შპს ნიუ თაიმ 2011,424065950,87094
შ.პ.ს. სააგენტო სერვის ცენტრი ტ.გ.მ,206030418,86535
ბაგ ელექტრონიქს,205265078,86100
შპს მონმოტორსი,445397874,85920
შპს ვაჟი,233147305,85702
შპს დილის პროდუქტები,204516194,85579
იმერეთი-98,204915841,84928
MW,416296261,84802
აეროსოფტი,404383421,84590
ს.ს მ. ასათიანის სახელობის ფსიქიატრიის სამეცნიერო კვლევითი ინსტიტუტი,212002660,83448
შპს R-deluxe,401965897,82999
პრაიმ თაიმი,202334508,81080
