Source,Target,Type,Id,Label,Weight
6340,1850,Undirected,10715,,3
6345,1850,Undirected,10716,,8
6346,1850,Undirected,10717,,1
6907,1850,Undirected,10718,,1
7375,1850,Undirected,10719,,1
7439,1850,Undirected,10720,,1
2461,1856,Undirected,10721,,1
2462,1856,Undirected,10722,,1
4245,1856,Undirected,10723,,3
4405,1856,Undirected,10724,,2
4414,1856,Undirected,10725,,2
4432,1856,Undirected,10726,,3
4465,1856,Undirected,10727,,1
4539,1856,Undirected,10728,,1
4554,1856,Undirected,10729,,1
4636,1856,Undirected,10730,,1
4689,1856,Undirected,10731,,1
4709,1856,Undirected,10732,,1
4852,1856,Undirected,10733,,1
4853,1856,Undirected,10734,,1
1858,1858,Undirected,10735,,1
1951,1858,Undirected,10736,,1
1952,1858,Undirected,10737,,1
1953,1858,Undirected,10738,,2
5305,1860,Undirected,10739,,1
1861,1861,Undirected,10740,,1
1904,1861,Undirected,10741,,1
2499,1861,Undirected,10742,,2
2739,1861,Undirected,10743,,1
2859,1861,Undirected,10744,,1
2970,1861,Undirected,10745,,1
3087,1861,Undirected,10746,,1
4789,1861,Undirected,10747,,1
7052,1862,Undirected,10748,,1
7170,1862,Undirected,10749,,1
4566,1863,Undirected,10750,,1
6547,1863,Undirected,10751,,1
6548,1863,Undirected,10752,,1
4987,1864,Undirected,10753,,1
6681,1864,Undirected,10754,,1
4248,1866,Undirected,10755,,1
4335,1866,Undirected,10756,,4
4437,1866,Undirected,10757,,1
4438,1866,Undirected,10758,,1
5227,1866,Undirected,10759,,1
5228,1866,Undirected,10760,,1
5229,1866,Undirected,10761,,1
5273,1866,Undirected,10762,,2
5346,1866,Undirected,10763,,5
5350,1866,Undirected,10764,,2
1867,1867,Undirected,10765,,1
1868,1867,Undirected,10766,,1
1869,1867,Undirected,10767,,1
2187,1868,Undirected,10768,,4
2188,1868,Undirected,10769,,3
2189,1868,Undirected,10770,,1
2190,1868,Undirected,10771,,1
2191,1868,Undirected,10772,,1
2192,1868,Undirected,10773,,1
2827,1868,Undirected,10774,,2
3075,1868,Undirected,10775,,1
4437,1868,Undirected,10776,,3
5550,1868,Undirected,10777,,2
5551,1868,Undirected,10778,,2
5872,1868,Undirected,10779,,1
6866,1868,Undirected,10780,,1
5352,1869,Undirected,10781,,1
1874,1873,Undirected,10782,,1
4711,1874,Undirected,10783,,1
1876,1875,Undirected,10784,,1
5327,1876,Undirected,10785,,1
7401,1876,Undirected,10786,,1
1879,1878,Undirected,10787,,1
6514,1879,Undirected,10788,,1
3872,1880,Undirected,10789,,1
4638,1880,Undirected,10790,,1
1882,1882,Undirected,10791,,1
3651,1882,Undirected,10792,,1
1886,1886,Undirected,10793,,1
4020,1889,Undirected,10794,,1
4934,1890,Undirected,10795,,1
5509,1892,Undirected,10796,,1
6519,1892,Undirected,10797,,1
6520,1892,Undirected,10798,,1
6635,1892,Undirected,10799,,1
7506,1892,Undirected,10800,,1
1981,1896,Undirected,10801,,2
2747,1896,Undirected,10802,,1
3479,1896,Undirected,10803,,2
3526,1896,Undirected,10804,,3
4340,1896,Undirected,10805,,2
4579,1896,Undirected,10806,,2
4679,1896,Undirected,10807,,2
5157,1896,Undirected,10808,,1
5210,1896,Undirected,10809,,2
5421,1896,Undirected,10810,,1
5819,1896,Undirected,10811,,1
6061,1896,Undirected,10812,,1
6068,1896,Undirected,10813,,1
6558,1896,Undirected,10814,,1
6659,1896,Undirected,10815,,1
6832,1896,Undirected,10816,,2
7037,1896,Undirected,10817,,1
7074,1896,Undirected,10818,,1
7075,1896,Undirected,10819,,1
7186,1896,Undirected,10820,,1
7498,1896,Undirected,10821,,1
4973,1897,Undirected,10822,,1
6248,1897,Undirected,10823,,1
1899,1899,Undirected,10824,,1
1900,1899,Undirected,10825,,1
4402,1900,Undirected,10826,,1
2312,1901,Undirected,10827,,1
1906,1905,Undirected,10828,,1
6911,1905,Undirected,10829,,1
5225,1909,Undirected,10830,,1
5309,1909,Undirected,10831,,1
4956,1911,Undirected,10832,,4
7186,1911,Undirected,10833,,1
1912,1912,Undirected,10834,,4
1913,1912,Undirected,10835,,1
1914,1912,Undirected,10836,,1
1915,1912,Undirected,10837,,1
2426,1912,Undirected,10838,,11
2427,1912,Undirected,10839,,1
2428,1912,Undirected,10840,,1
2429,1912,Undirected,10841,,1
2637,1912,Undirected,10842,,9
3138,1912,Undirected,10843,,1
3139,1912,Undirected,10844,,1
3174,1912,Undirected,10845,,2
3389,1912,Undirected,10846,,1
